위도,경도,기관명
35.82625298,128.5291972,다니엘이비인후과의원
35.82567385,128.5297136,다온피부과의원
35.85697196,128.5308634,다정한산부인과의원
35.850369,128.536089,닥터디자이너의원
35.81891491,128.5212469,닥터신이비인후과의원
35.84384836,128.5309196,닥터한정형외과의원
35.84988175,128.5301296,달서여성메디파크의원
35.83222907,128.5531006,달서연합의원
35.8537866,128.5477038,달서연합정형외과의원
35.85118081,128.5729722,달성외과의원
35.8573514,128.558435,대경신경과의원
35.80717774,128.5359638,대곡경대플러스마취통증의학과의원
35.80910204,128.512264,대곡다나연합내과의원
35.80728434,128.5342937,대곡미래연합의원
35.80910204,128.512264,대곡시원제통의원
35.8079343,128.5360906,대곡신세계미산부인과의원
35.85366298,128.5569255,대곡연세의원
35.80723419,128.5354331,대곡제일내과의원
35.80731242,128.5340615,대곡최내과의원
35.84380022,128.5066426,대구가톨릭의원
35.8370371,128.5561448,대구나눔의료소비자생활협동조합나눔연합의원
35.84955946,128.5357182,대구명안과의원
35.84955946,128.5357182,대구탑연합정형외과의원
35.81909078,128.5160135,대천속내과의원
35.8254499,128.5299109,더데이의원
35.850369,128.536089,더동안의원
35.84491889,128.5374471,더본연합정형외과의원
35.819133,128.537155,더블유안과의원
35.85394679,128.5461771,더원정형외과의원
35.8175028,128.5327706,더자람연합의원
35.850326,128.5360651,더차오름의원
35.8366755,128.5562924,더편한내과의원
35.82555017,128.5271008,더편한마취통증의학과의원
35.85039019,128.5148108,도외과의원
35.80717774,128.5359638,도원정형외과의원
35.85496251,128.509991,동산연합이비인후과의원
35.83161796,128.5307715,동산종합의원
35.8501079,128.5380357,동서비뇨기과의원
35.81837698,128.5369357,동서자애신경외과내과의원
35.85025339,128.4736813,동아내과의원
35.85459052,128.5532119,두류연합의원
35.81670315,128.5322987,두웰신경과의원
35.8484374,128.536007,따뜻한속내과의원
35.8370407,128.5561545,라인정신건강의학과의원
35.82555017,128.5271008,라파이비인후과의원
35.8177804,128.539322,로운안과의원
35.850369,128.536089,로제피부과의원
35.82192024,128.5285929,로하스속내과의원
35.850369,128.536089,류주연산부인과의원
35.8508653,128.5376667,르봄여성의원
35.85499453,128.5066919,리더스내과의원
35.81688208,128.5325986,리즈피부과의원
35.81688208,128.5325986,마미유의원
35.81891491,128.5212469,마인드정형외과의원
35.843863,128.536406,맑은결의원
35.85425935,128.5100197,맑은샘정신건강의학과의원
35.8132331,128.5237828,맑은윤슬의원
35.81640671,128.5300392,맘튼정신건강의학과의원
35.83737243,128.5538005,맥의원
35.8577869,128.5302491,메디웰의원
35.842302,128.545973,메디필즈의원
35.83791698,128.5568815,명가마디내과의원
35.85587979,128.5531323,미래안과의원
35.85424897,128.5103407,미래연합비뇨기과의원
35.80885624,128.5514221,미래종합의원
35.82522959,128.5262133,미쁨의원
35.81758446,128.5327472,미소안과의원
35.85572805,128.5528102,미소지앤의원
35.83278307,128.5541449,미여성의원
35.82394158,128.5341621,미와건강종합의원
35.81518397,128.5272977,바른연합정형외과의원
35.83791698,128.5568815,바른척척의원
35.85229651,128.4988252,박가정의학과의원
35.8577651,128.5308687,박기수내과의원
35.81321984,128.5209329,박세영앤대구항외과의원
35.8177804,128.539322,박앤리피부과의원
35.80796401,128.5354933,박의수피부과의원
35.85450681,128.5498567,박재호내과의원
35.81266296,128.5448312,박정국내과의원
35.85404428,128.5485138,박종수신경외과의원
35.81910639,128.5370845,박혜란유외과의원
35.85675225,128.5554746,밝은눈안과의원
35.85629823,128.5542535,방성혁이비인후과의원
35.83686255,128.547067,배덕수내과의원
35.821599,128.5207763,베러미의원
35.85015341,128.5339066,베스트정형외과의원
35.85509689,128.5037918,본즈정형외과의원
35.81545362,128.5295127,부강외과의원
35.85553499,128.5088986,부부내과가정의학과의원
35.81812444,128.5389813,뷰시스의원
35.8195135,128.5387583,비너스여성의원
35.85015341,128.5339066,비앤비뇨의학과의원
35.82418426,128.5261621,비타민나무의원
35.83547125,128.5556136,비타민신통의원
35.83865726,128.4906036,사단법인대한산업보건협회대구의원
35.84945213,128.5274033,사랑가득의원
35.85204734,128.5376835,사랑모아마취통증의학과의원
35.85842197,128.5741205,사회복지법인전석복지재단소망의원
35.84376372,128.5337419,삼성내과의원
35.83755118,128.5502153,삼성정형외과의원
